Open	High	Low	Close	Adj Close	Volume	change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	symbol	company	list_date	v_change
0.29	0.3	0.29	0.29	0.29	10657	-0.01	0.3	0.28	0.29	7291.0	15335.3	40787.8	MTEC	Cannvas MedTech Inc. 	2018-07-03	3366.0
0.1	0.1	0.1	0.1	0.1	18000	0.01	0.1	0.09	0.09	85708.4	54954.2	48382.25	PWR	Captiva Verde Land Corp.	2018-10-10	-67708.4
1.49	1.65	1.49	1.65	1.65	298239	0.15	1.35	1.11	1.12	200005.6	191375.7	131506.6	CPTR	Captor Capital Corp.	2017-10-30	98233.4
0.06	0.08	0.06	0.08	0.08	100884	0.0	0.07	0.07	0.08	54191.2	143770.9	95438.7	CRL	"Carl Data Solutions Inc.
"	2015-01-21	46692.8
0.0	0.0	0.0	0.0	0.0	0	-0.02	0.01	0.01	0.01	0.0	0.0	0.0	OLG	Carlyle Entertainment Ltd.. 	2016-04-04	0.0
0.08	0.08	0.08	0.08	0.08	20000	-0.07	0.14	0.16	0.16	10000.0	5730.5	4116.8	CFE	Cartier Iron Corporation 	2013-01-29	10000.0
0.38	0.38	0.38	0.38	0.38	0	0.0	0.38	0.38	0.38	0.0	0.0	0.0	CK	"Cascadia Blockchain Group Corp.
"	2018-09-10	0.0
0.17	0.17	0.17	0.17	0.17	0	0.0	0.17	0.17	0.17	0.0	0.0	143.1	CAI	Cautivo Mining Inc.	2017-08-08	0.0
0.1	0.1	0.1	0.1	0.1	0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	CMS	CDN MSolar Corp.	2014-04-08	0.0
0.16	0.17	0.16	0.17	0.17	909922	0.1	0.08	0.07	0.06	284784.4	149792.2	82368.4	CUBE	"CellCube Energy Storage Systems Inc.
"	2018-05-17	625137.6
0.0	0.0	0.0	0.0	0.0	0	-0.03	0.01	0.01	0.01	19240.0	21480.0	13945.0	CEG	Cerro Grande Mining Corporation	2014-08-26	-19240.0
0.02	0.02	0.02	0.02	0.02	0	-0.12	0.11	0.11	0.12	11435.6	7467.8	34919.6	CBP	"Certive Solutions Inc. 
"	2013-10-07	-11435.6
15.47	16.16	15.47	16.0	16.0	292614	0.65	15.14	14.1	14.05	294341.6	281236.6	351073.5	CWEB	Charlotte's Web Holdings, Inc. 	2018-08-30	-1727.6
1.03	1.11	1.03	1.1	1.1	98496	0.07	1.02	0.98	1.01	94098.0	69277.4	89199.45	CSI	Chemesis International Inc.	2018-07-18	4398.0
0.51	0.54	0.5	0.54	0.54	101120	0.03	0.52	0.45	0.41	21255.4	11474.4	8426.6	CHM	"Chemistree Technology Inc.
"	2017-08-04	79864.6
0.08	0.08	0.08	0.08	0.08	5200	0.0	0.08	0.07	0.09	1040.0	1500.0	4815.0	CAT	Chimata Gold Corp.	2018-06-11	4160.0
0.46	0.52	0.46	0.48	0.48	693821	0.46	0.11	0.07	0.04	147882.0	95698.1	62789.05	CHOO	Choom Holdings Inc. 	2017-11-22	545939.0
0.12	0.12	0.12	0.12	0.12	40250	0.09	0.04	0.03	0.02	20100.0	31050.0	31225.0	CMC	Cielo Waste Solutions Inc.	2011-08-03	20150.0
0.21	0.21	0.21	0.21	0.21	0	-0.74	0.8	0.91	1.0	0.0	160.0	247.0	CIM	CIM International Group Inc. 	2016-05-09	0.0
0.02	0.02	0.02	0.02	0.02	0	0.0	0.02	0.02	0.03	0.0	30500.0	32600.0	CNI	Cloud Nine Education Group Ltd. 	2016-12-01	0.0
0.04	0.04	0.04	0.04	0.04	0	-0.06	0.09	0.09	0.07	0.0	500.0	500.0	CXC	CMX Gold & Silver Corp. 	2014-12-11	0.0
0.35	0.4	0.35	0.4	0.4	39684	0.03	0.37	0.36	0.38	35558.8	72343.9	91688.95	CGN	Cognetivity Neurosciences Ltd.	2018-03-19	4125.2
